name,year,content,
"Bailey, H.W.",1930,"Iranica [(I)]，【JRAS】, 1930, 1, 11-19.",
"Bailey, H.W.",1930,"To the Zāmāsp-nāmak. I, 【BSOS】, VI, 1, 1930, 55-85.",
"Bailey, H.W.",1930,"Yasna 53, in 【Dr. Modi memorial volume. Papers on Indo-Iranian and other subjects written by several scholars in honour of Shams-ul-Ulama Dr. Jivanji Jamshedji Modi】. Bombay : Dr. Modi Memorial Volume Editorial Board, 1930, 578-94.",
"Bailey, H.W.",1931,"Būm-čandak, 【BSOS】, vi, 3, 1931, 822-4.",
"Bailey, H.W.",1931,"Kumzari 【dimestān】, 【JRAS】, 1931, 1, 138-40.",
"Bailey, H.W.",1931,"Three Pahlavi notes，【JRAS】, 1931, 2, 424-6.",
"Bailey, H.W.",1931,"To the To the Žāmāsp-nāmak. Ⅱ, 【BSOS】, vi, 3, 1931, 581-600.",
"Bailey, H.W.",1931,"The word “But” in Iranian ’, 【BSOS】, vi, 2, 1931, 279-83.",
"Bailey, H.W.",1931,"【Reviews】: G. Morgenstierne, Indo-Iranian Frontier Languages. Vol. I: Parachi and Ormuri, Oslo, 1926, in 【BSOS】, VI, 3, 1931, pp. 768-9.",
"Bailey, H.W.",1932,"Iranian studies[, 1] ’, 【BSOS】, vi, 4, 1932, 945-55.",
"Bailey, H.W.",1932,"Pdšqyrd,【JRAS】, 1932, 1, 138-9.",
"Bailey, H.W.",1932,"【Reviews】: J.C. Tavadia, 【Šāyast-nē-Šāyast. A Pahlavi Text on Religious Customs, edited, transliterated and translated, with introduction and notes】, Hamburg, 1930, in 【JRAS】, 1932, 4, pp, 973-4.",
"Bailey, H.W.",1932,"【Reviews】: J. Mansion, 【Esquisse d’une Histoire de la Langue Sanskrite】, Paris, 1931, in 【JRAS】 1932, 4, pp. 976-7.",
"Bailey, H.W.",1933,"Iranian studies, Ⅱ, 【BSOS】, Ⅶ, 1, 1933, 69-86.",
"Bailey, H.W.",1933,"Iranian verbs in -m and -p, in Jal Dastur Cursetji Pavry (ed.) : 【Oriental studies in honour of Cursetji Erachji Pavry】. London : Oxford University Press, 1933, 21-5.",
"Bailey, H.W.",1933,"【Reviews】: H.S. Nyberg, 【Hilfsbuch des Pehlevi. Vol. II: Glossar, Uppsala】, 1931, in 【JRAS】, 1933, 4, pp. 1003-4.",
"Bailey, H.W.",1934,"Western Iranian dialects, 【TPS】, 1933, [pub.] 1934, 46-64.",
"Bailey, H.W.",1934,"The Avesta and books of the Parsis, 【Journal of Transactions, Society for Promoting the Study of Religions】, No. 8, January 1934, 41-6.",
"Bailey, H.W.",1934,"Iranian studies, Ⅲ, 【BSOS】, vn, 2, 1934, 275-98.",
"Bailey, H.W.",1934,"Iranica (Ⅱ), 【JRAS】, 1934, 3, 505-18.",
"Bailey, H.W.",1934,"(joint author): OE “ afigen ” : Ossete “ fēzōnäg ”, 【Leeds Studies in English and Kindred Languages】, 3, 1934, 7-9. (By A. S. C. Ross and H. W. Bailey.)",
"Bailey, H.W.",1934,"【Review】: S. Konow, 【Saka Studies】, Oslo, 1932, in 【BSOS】, VII, 2, 1934, pp. 412-3.",
"Bailey, H.W.",1934,"【Review】: A. Meillet, 【Grammaire du Vieux-Perse】, 2nd ed. rev. É. Benveniste, Paris, 1931, in 【BSOS】, VII, 3,1934, pp. 700-2.",
"Bailey, H.W.",1934,"【Review】: É. Benveniste, 【Essai de Grammaire Sogdienne, deuxiҳme partie. Morphologie, Syntaxe et Glossaire】, Paris, 1929, in 【BSOS】, VII, 3, 1934, pp. 702-3.",
"Bailey, H.W.",1934,"【Review】: A.V. Williams Jackson, 【Researches in Manichaeism: with Special Reference to the Turfan Fragments】, New York, 1932 in 【JRAS】, 1934, 1, pp. 145-6.",
"Bailey, H.W.",1934,"【Review】: A. Christensen, 【Les Kayanides】, Copenhagen, 1931, in 【JRAS】, 1934, 3, pp. 568-9.",
"Bailey, H.W.",1935,"(joint author) : A fragment of the Uttaratantra in Sanskrit ’, 【BSOS】, Ⅷ, 1, 1935, 77-89. (By H. W. Bailey and E. H. Johnston.)",
"Bailey, H.W.",1935,"Iranian studies, Ⅳ, 【BSOS】, Ⅶ, 4, 1935, 755-78.",
"Bailey, H.W.",1935,"Iranian studies, Ⅴ,【BSOS】, Ⅷ, 1, 1935, 117-42.",
"Bailey, H.W.",1935,"Modern Western Iranian : infinitives in Gazī and Soī, 【TPS】, 1935, 73-4.",
"Bailey, H.W.",1935,"【Review】: ҳ. Benveniste and L. Renou, 【Vṛtra et Vṛθragna,Étude de Mythologie Indo-iranienne】, Paris, 1934, in 【BSOS】, VII, 4, 1935, pp. 975-6.",
"Bailey, H.W.",1935,"【Review】: É. Benveniste, 【Les Infinitifs Avestiques】, Paris, 1935, in 【BSOS】, VIII, 4, 1937, pp. 1155-6 ",
"Bailey, H.W.",1936,"A Brāhmī 【akṣara】, 【JRAS】, 1936, 1, 92-4.",
"Bailey, H.W.",1936,"Handschriften aus Chotan und Tunhuang, 【ZDMG】, xc, 3, 1936, 573-8.",
"Bailey, H.W.",1936,"【hīnāysä】 “general”, in F. W. Thomas, ‘Some words found in Central Asian documents’, 【BSOS】, Ⅷ, 2-3, 1936, 790-1.",
"Bailey, H.W.",1936,"Indo-Iranica, 【TPS】, 1936, 95-101.",
"Bailey, H.W.",1936,"An itinerary in Khotanese Saka, 【Acta Or.】, XIV, 4, 1936, 258-67.",
"Bailey, H.W.",1936,"Persia, Ⅱ. Language and dialects, 【Encyclopaedia of Islām】, Ⅲ, 1936, 1050-8.",
"Bailey, H.W.",1936,"Yazdi, 【BSOS】, Ⅷ, 2-3, 1936, 335-61.",
"Bailey, H.W.",1936,"【Review】: M. Leumann, 【Sakische Handschriftproben】, Hamburg, 1934, in 【JRAS】, 1936, 1, pp. 121-2.",
"Bailey, H.W.",1937,"Hvatanica[, Ⅰ], 【BSOS】, Ⅷ, 4, 1937, 923-36.",
"Bailey, H.W.",1937,"Hvatanica, Ⅱ, 【BSOS】, Ⅸ, 1, 1937, 69-78.",
"Bailey, H.W.",1937,"Ttaugara, 【BSOS】, Ⅷ, 4, 1937, 883-921.",
"Bailey, H.W.",1937,"【Review】: W.B. Henning, 【Ein Manichäisches Bet- und Beichtbuch】, Berlin, 1936, in 【BSOS】, IX, 1, 1937, pp. 229-31.",
"Bailey, H.W.",1937,"【Review】: A. Christensen, 【L’Iran sous les Sassanides, Copenhagen-Paris】, 1936, in 【BSOS】, IX, 1, 1937, pp. 231-3.",
"Bailey, H.W.",1938,"【Codices khotanenses : India Office Library Ch. ii 002, Ch. ii 003, Ch. 00274 reproduced in facsimile with an introduction by H. W. Bailey】. (Monumenta Lingua-rum Asiae Maioris, Ⅱ.) xiii, 183 pp. Copenhagen : Levin and Munksgaard, Ejnar Munksgaard, 1938. [Introduction, pp. ix-xiii.]",
"Bailey, H.W.",1938,"【The content of Indian and Iranian studies : an inaugural lecture delivered on 2 May 1938】. 35 pp. Cambridge : University Press, 1938.",
"Bailey, H.W.",1938,"Hvatanica, Ⅲ ,【BSOS】, Ⅸ, 3, 1938, 521-43.",
"Bailey, H.W.",1938,"Indo-Turcica, 【BSOS】, Ⅸ, 2, 1938, 289-302.",
