name,year,content,
段晴,1987,"【draivī】, R.E. Emmerick and P.O. Skjærvø (eds.), 【Studies in the Vocabulary of Khotanese II】, Wien: Österreichische Akademie der Wissenschaften, 1987, pp. 61-62.",
段晴,1988,《于阗文中的八曜》，《民族语文》1988年第4期，第36—40页。,
段晴,1991,《于阗语的蚕字、茧字、丝字》，李铮、蒋忠新主编：《季羡林先生八十华诞纪年论文集》（上卷），江西：江西教育出版社，1991年，第45—50页。,
段晴,1992,《西方鬼的故事：晚皮尔的传说》，《国外文学》1992第3期，第85—93页。,
段晴,1993,《于阗语〈出生无边门陀罗尼经〉残片释读》，《西域研究》1993年第2期，第46—51页。,
段晴,1993,《于阗经文中“作茧自缚”的来源》，《民族语文》1993第1期，第63—66页。,
段晴,1993,《“慈悲者之城”与“涅槃城”》，《南亚研究》1993第2期，第41—45页。,
段晴译,1996,《安徒生童话故事集》，河北少儿出版社，1996年。,
段晴译,1996,《格林童话故事集》，河北少儿出版社，1996年。,
段晴,1996,《面如满月：浅谈中印审美观的差异》，《北京大学学报》（东方文化研究专刊），1996年，第25—31页。,
段晴,1996,《〈大唐西域记〉瞿萨旦那国拾零》，北京大学东方文化研究所编：《东方研究》（1996、1997年合集），北京：蓝天出版社，第139—146页。,
季羡林，段晴等译,1996,《梵语基础读本》，北京：北京大学出版社 ，1996年。,
荣新江，段晴,1996,《据史德语考》，《中亚学刊》（第五辑），1996年，乌鲁木齐：新疆人民出版社，第9—21页。,
段晴,1997,《从〈梨俱吠陀〉读出的历史》，《南亚研究》1997年第1期，第91—93页。,
段晴、王炳华,1997,《新疆新出于阗文案牍文书研究》，季羡林等主编：《敦煌吐鲁番研究》第2卷，北京：北京大学出版社，1997年，第1—12页。,
段晴,1998,《几件与册封于阗王有关的于阗语文书》，叶奕良编：《伊朗学在中国论文集》（第二集），北京：北京大学出版社，1998年，第9—13页。,
段晴,1998,【What does Indology specially mean for China】，北京大学东方文化研究所编：《东方研究——纪念百年校庆论文集》，北京：蓝天出版社，1998年，第429—441页。,
段晴,1998,《印度人的自然观初探》，《南亚研究》1998年第1期，第51—56页。,
段晴,2000,《敦煌新出土叙利亚文书释读报告》，彭金章、王建军、敦煌研究院编：《敦煌莫高窟北区石窟》（第一卷），北京：文物出版社，2000年，第382—390页。,
段晴,2000,《敦煌新出土叙利亚文书释读报告（续篇）》，《敦煌研究》2000年第4期，第120—126页。,
段晴,2001,《波你尼语法入门》（【Introduction into Pāṇīni’s system】），北京：北京大学出版社，2001年。,
段晴,2001,"【Bericht über ein neuentdecktes syrisches Dokument aus Dunhuang/China (mit 2 Abbildungen)】, 【Oriens Christianus】, Vol. 85, 2001, pp.84-93.",
段晴,2002,《敦煌莫高窟北区出土的一件梵语残卷》，戒幢佛学研究所编：《戒幢佛学》（第二卷），长沙：岳麓书社，2002年，第68—78页。,
段晴,2002,《梵语以及梵语的启示》，于维雅主编：《东方语言文字与文化》，北京：北京大学出版社，2002年，第154—165页。,
段晴,2002,《梵语与零的发现》，《东方研究2001年》，2002年，第299-307页。,
段晴,2002,《素材是人文科学的基础》，《语言学研究》第一辑，北京：北京大学出版社，2002年，第181-185页。,
段晴,2002,"""The Study of Sanskrit at Peking University"", presented at first at Center for Advanced Studies, Oslo,Norwegen, 10th June 2002; Published in 【Fragile Palm Leaves】, No.7( December 2002), Bangkok, Thailand.",
段晴,2003,《读薛克翘先生〈中印文学比较研究〉有感》，《南亚研究》，2003年第2期，第92-93页。,
段晴,2003,《对vibhakti类词缀的补充说明》，《东方研究》2002/2003年，北京：经济日报出版社，第123-136页。,
段晴,2003,《唐代大秦寺与景教僧新释》，《唐代宗教信仰与社会》（北京大学盛唐研究丛书），上海：上海辞书出版社，2003年，第434-472页。,
段晴,2003,《景教碑中的七时之说》，《伊朗学在中国论文集》（第三册），北京：北京大学出版社，2003年，第21-30页。,
段晴,2003,《于阗语〈罗摩衍那〉的故事》，《东方文学比较研究》，北京：北京大学出版社，2003年，第138-157页。,
段晴,2003,书评：林悟殊：《唐代景教再研究》，《中国学术》2003年第3期，第311-314页。,
"Duan, Qing, and Jin-zhang Peng.",2003,"“A Newly Found Sanskrit Fragment from Dunhuang,” 【Annual Report of the International Research Institute for Advanced Buddhology at Soka University】, vol.VI (2003), pp.197-206.",
段晴,2004,《西域胡语文书》，《敦煌与丝路文化学术讲座（二）》，北京：北京图书馆出版社，2004年，第36-62页。,
Duan Qing,2004,"“What does Indology mean Specially for China”,  in Saroja Bhate(eds.), 【Indology: Past, Present and Future】, New Delhi: Sahitya Akadami, 2004, p.228.",318 历史文献
段晴,2005,《大秦寺的守望者》，《书城》2005年第11期，第70-73页。,
朱冠明，段晴,2005,《梵汉本〈法华经〉语词札记》，《古汉语研究》2005年第2期，第68-73页。,
段晴,2005,《筋斗背后的故事——从一个家喻户晓的词汇透视粟特文化的遗踪》，《粟特人在中国-历史、考古、语言的新探索》《法国汉学》第十辑，北京：中华书局，2005年，第402-415页。,
金克木、赵国华、席必庄等译,2005,《摩诃婆罗多》，北京：中国社会出版社，2005年。,
段晴,2005,《西域语趣――读〈正法华〉、〈妙法〉随笔》，《中国学术》第二十一辑，北京：商务印书馆，2005年，第193-204页。,
段晴,2006,《悉昙字本说源》，《语言学论丛》第32辑，北京：商务印书馆，2006年，第334-355页。,
段晴,2006,《新发现的于阗语〈金光明最胜王经〉》，《敦煌吐鲁番研究》第九卷，北京：中华书局， 2006年，第7-22页。,
段晴,2007,"“Two New Folios of Khotanese Suvarnabhāsottamasūtra,”【Annual Report of the International Research Institute for Advanced Buddhology at Soka University】, vol.X (2007), pp.325-336.",
段晴,2007,《寻踪觅影——汉译佛经中印度土著语法的痕迹(英文)》，《北京论坛（2007）文明的和谐与共同繁荣——人类文明的多元发展模式：“多元文明冲突与融合中语言的认同与流变”外国语分论坛论文或摘要集（下）》，2007年，第114-125页。,
Duan Qing,2008,"“In the Pursuit of Vyākaraṇa-elements in Chinese Translations”,  【Selected Papers of Beijing Forum 2007—The Harmony of Civilizations and Prosperity for All—Diversity in the Development of Human Civilization】, Beijing: PKU Press,  2008, pp.163-172.",
Duan Qing,2008,"“The Maitrī-bhāvanā-prakaraṇa, A Chinese Parellel to the Third Chapter of the Book of 【Zambasta】”, in M. Macuch, M. Maggi, and W. Sundermann (eds.), 【Iranian Languages and Texts from Iran and Turfan, Ronald E. Emmerick Memorial Volume】, Wiesbaden: Harrassowitz, 2007[2008]，pp. 39-48.",
段晴、和田地区博物馆,2009,《和田博物馆藏于阗语租赁契约研究——重识于阗之“桑”》，《敦煌吐鲁番研究》第11卷，上海：上海古籍出版社，2009年，第29-44页。,
段晴,2009,《明咒护身符》，中国新疆文物考古研究所，日本佛教大学尼雅遗址学术研究机构编著：《丹丹乌里克遗址——中日共同考察研究报告》，文物出版社，2009年，第267-279页。,
段晴,2009,《于阗文本〈修慈分〉》，朱玉麒主编：《西域文史》第三辑，北京：科学出版社， 2009年，第1-57页。,
段晴,2009,《于阗语〈对治十五鬼护身符〉》，《敦煌吐鲁番研究》第11卷，上海：上海古籍出版社，2009年，第101-118页。,
段晴,2009,《于阗语高僧买奴契约》，《敦煌吐鲁番研究》第11卷，上海：上海古籍出版社，2009年，第11-28页。,
孙浩、段晴,2009,《论“如意金箍棒”的原型及演变过程》，《南京社会科学》2009年第8期，第80-83+95页。,
Duan Qing,2009,"""A Fragment of the Bhadrakalpa-sutra in Buddhist Sanskrit from Xinjiang"", 【Sanskrit Manuscripts in China】, Beijing :China Tibetology Publishing House, 2009.",
Duan Qing,2009,"""Bisā- and Hālaa- in a New Chinese-Khotanese Bilingual Document"", 【the Journal of Inner Asian Art and Archaeology】, vol.3, 2009, pp.65-73.",
Duan Qing,2009,"""Misfortune caused by Kings"", 【Annual Report of the International Research Institute for Advanced Buddhology】, vol.XIII, 2010,pp.173-183.",
Duan Qing,2009,"""‘Mulberry'in Khotanese"", 【Bulletin of the Asia Institute】, vol.19, 2009,pp.5-14.",
