name,year,content,
"Skjærvø, Oktor",1974,"【Undersøkelser til verbalsystemet i gammelpersisk og vestlig middel-iransk】 (Investigations into the verbal systems of Old Persian and western Middle Persian), M.A. thesis, Oslo and Copenhagen, 1974 (115 pp. xerox, unpublished, but see nos. 29, 33).",
"Skjærvø, Oktor",1981,"【The Paikuli inscription, restoration and interpretation】. Pt. 1. 【Restored text and translation】 (109 pp.). Pt 2. 【Introduction and commentary】. Doctoral thesis, Oslo, Norway, 1981 (27 + 311 pp., xerox).",
"Skjærvø, Oktor",1976,"Sogdian Notes,【 Acta Orientalia】 37, 1976, pp. 111-116.",
"Skjærvø, Oktor",1977,"Notes on the dialects of Mīnāb and Hormoz, 【Norwegian Journal of Linguistics (NTS)】 29, 1975, pp. 113-128.",
"Skjærvø, Oktor",1977,"【Review】: J. Hampel,【 Die Kopenhagener Handschrift Cod. 27】, Wiesbaden, 1974, in 【Wiener Zeitschrift für die Kunde des Morgenlandes】 67, 1975, pp. 306-308 (with J. P. Asmussen).",
"Skjærvø, Oktor",1977,"Review: W. Eilers, 【Westiranische Mundarten aus der Sammlung W. Eilers. Die Mundart von Chunsar 】(herausgegeben unter Mitarbeit von U. Schapka), Wiesbaden, 1976, in 【Acta Orientalia 】38, 1977, pp. 373-381.",
"Skjærvø, Oktor",1978,"【The Sassanian inscription of Paikuli】, with H. Humbach, Wiesbaden. I: 【Supplement to Herzfeld’s Paikuli】, by H. Humbach, 1978 (28 pp., 116 ﬁgs).",
"Skjærvø, Oktor",1979,"The interpretation of the Paikuli inscription, in 【Akten des VII. Internationalen Kongresses für Iranische Kunst und Archäologie München 7.-10. September】 1976, Berlin, 1979, pp. 329-331.",
"Skjærvø, Oktor",1979,"Georg Morgenstierne, 【Acta Orientalia】 40, 1979, pp. 5-10.",
"Skjærvø, Oktor",1980,"【The Sassanian inscription of Paikuli II: Synoptic tables】, with H. Humbach, Wiesbaden, 1980 (12 pp., 15 folding tables).",
"Skjærvø, Oktor",1980,"【Studies in the Vocabulary of Khotanese】, with R. E. Emmerick, Vienna, 1980 (133 pp.).",
"Skjærvø, Oktor",1981,"The Old Khotanese fragment  H 147 NS  115 and remarks on Old Khotanese 【hamdärväto】, 【patīśu】, 【vya】and【ya】, 【BSOAS】 44/3, 1981, pp. 453-467.",
"Skjærvø, Oktor",1981,"【Review】: I. M. Diakonoff and V. A. Livshits, 【Parthian Economic Documents from Nisa】 III, ed. D. N. MacKenzie, in Corpus Inscriptionum Iranicarum II: Inscriptions of the Seleucid and Partian periods and of eastern Iran and Central Asia II: Parthian I, London, 1979, in 【BSOAS】 44/1, 1981, p. 222.",
"Skjærvø, Oktor",1981,"【Review】: W. Eilers, 【Westiranische Mundarten aus der Sammlung W. Eilers II: Die Mundart von Gäz】, 2 vols. (herausgegeben unter Mitarbeit von U. Schapka), Wiesbaden, 1979, in【 Die Welt des Islam】 20,1981, pp. 207-209.",
"Skjærvø, Oktor",1982,"【Review】: C. J. Brunner, 【Sasanian stamp seals in The Metropolitan Museum of Art】, New York, 1978, in 【JRAS】, 1982, p. 59.",
"Skjærvø, Oktor",1982,"【Review】: D. Monchi-Zadeh, 【Die Geschichte Zarēr’s】, Uppsala, 1981, in【 JRAS】, 1982, pp. 191-192.",
"Skjærvø, Oktor",1983,"【The Khotanese Suvarṇabhāsottamasūtra】. Pt. 1. 【The manuscripts: transcription with critical apparatus and indices 】(34 + 168 pp., xerox). Pt. 2.【 Synoptic Khotanese text and English translation containing the corresponding Sanskrit text compared with the Tibetan and Chinese versions 】(403 pp., xerox). Pt. 3. Commentary (44 + 22 pp., xerox). Doctoral Habilitation thesis. Mainz, West Germany, 1983. (see no. 163)",
"Skjærvø, Oktor",1983,"【The Sassanian inscription of Paikuli】, III.1 【Restored text and translation】 and III.2 【Commentary 】by P. O. Skjærvø, with H. Humbach, Wiesbaden, 1983 (152, 160 pp.).",
"Skjærvø, Oktor",1983,"Case in inscriptional Middle Persian, inscriptional Parthian and the Pahlavi Psalter, 【Studia Iranica】 12, 1983, 1, pp. 69-94; 2, pp. 151-181.",
